Post,post,The act of authoring an object and then publishing it online.
accept,accept,"Indicates that that the actor has accepted the object. For instance, a person accepting an award, or accepting an assignment."
access,access,"Indicates that the actor has accessed the object. For instance, a person accessing a room, or accessing a file."
acknowledge,acknowledge,Indicates that the actor has acknowledged the object. This effectively signals that the actor is aware of the object's existence.
add,add,"Indicates that the actor has added the object to the target. For instance, adding a photo to an album."
agree,agree,"Indicates that the actor agrees with the object. For example, a person agreeing with an argument, or expressing agreement with a particular issue."
append,append,"Indicates that the actor has appended the object to the target. For instance, a person appending a new record to a database."
approve,approve,"Indicates that the actor has approved the object. For instance, a manager might approve a travel request."
archive,archive,Indicates that the actor has archived the object.
assign,assign,Indicates that the actor has assigned the object to the target.
at,at,"Indicates that the actor is currently located at the object. For instance, a person being at a specific physical location."
attach,attach,"Indicates that the actor has attached the object to the target. For instance, a person attaching a file to a wiki page or an email."
attend,attend,"Indicates that the actor has attended the object. For instance, a person attending a meeting."
author,author,"Indicates that the actor has authored the object. Note that this is a more specific form of the verb ""create""."
authorize,authorize,"Indicates that the actor has authorized the object. If a target is specified, it means that the authorization is specifically in regards to the target. For instance, a service can authorize a person to access a given application; in which case the actor is the service, the object is the person, and the target is the application. In contrast, a person can authorize a request; in which case the actor is the person and the object is the request and there might be no explicit target."
borrow,borrow,"Indicates that the actor has borrowed the object. If a target is specified, it identifies the entity from which the object was borrowed. For instance, if a person borrows a book from a library, the person is the actor, the book is the object and the library is the target."
build,build,"Indicates that the actor has built the object. For example, if a person builds a model or compiles code."
cancel,cancel,"Indicates that the actor has canceled the object. For instance, canceling a calendar event."
checkin,checkin,"Indicates that the actor has checked-in to the object. For instance, a person checking-in to a Place."
close,close,"Indicates that the actor has closed the object. For instance, the object could represent a ticket being tracked in an issue management system."
complete,complete,Indicates that the actor has completed the object.
confirm,confirm,"Indicates that the actor has confirmed or agrees with the object. For instance, a software developer might confirm an issue reported against a product."
consume,consume,"Indicates that the actor has consumed the object. The specific meaning is dependent largely on the object's type. For instance, an actor may ""consume"" an audio object, indicating that the actor has listened to it; or an actor may ""consume"" a book, indicating that the book has been read. As such, the ""consume"" verb is a more generic form of other more specific verbs such as ""read"" and ""play""."
create,create,Indicates that the actor has created the object.
delete,delete,"Indicates that the actor has deleted the object. This implies, but does not require, the permanent destruction of the object."
deliver,deliver,"Indicates that the actor has delivered the object. For example, delivering a package."
deny,deny,"Indicates that the actor has denied the object. For example, a manager may deny a travel request."
disagree,disagree,Indicates that the actor disagrees with the object.
dislike,dislike,"Indicates that the actor dislikes the object. Note that the ""dislike"" verb is distinct from the ""unlike"" verb which assumes that the object had been previously ""liked""."
