Country,Name,Location,Total number of reactors,Active Reactors,Reactors Under Construction,Shut Down Reactors
ARGENTINA,ATUCHA,"-34,-59.166672",2,1,1,0
ARGENTINA,EMBALSE,"-32.23333,-64.433327",1,1,0,0
ARMENIA,ARMENIA,"40.166672,44.133331",2,1,0,1
BELGIUM,BR,"51.216671,5.0833302",1,0,0,1
BELGIUM,DOEL,"51.333328,4.25",4,4,0,0
BELGIUM,TIHANGE,"50.51667,5.28333",3,3,0,0
BRAZIL,ANGRA,"-23.008329,-44.473888",2,2,0,0
BULGARIA,KOZLODUY,"43.75,23.633329",6,6,0,0
CANADA,BRUCE,"44.333328,-81.599998",8,4,0,4
CANADA,DARLINGTON,"43.883331,-78.699997",4,4,0,0
CANADA,DOUGLAS POINT,"44.333328,-81.599998",1,0,0,1
CANADA,GENTILLY,"46.400002,-72.316673",2,1,0,1
CANADA,NPD,"46.200001,-77.699997",1,0,0,1
CANADA,PICKERING,"43.816669,-79.066673",8,4,0,4
CANADA,POINT LEPREAU,"45.066669,-66.466667",1,1,0,0
CHINA,GUANGDONG,"22.6,114.53333",2,2,0,0
CHINA,LINGAO,"22.6,114.54194",2,0,2,0
CHINA,QINSHAN,"30.450001,120.93333",5,1,4,0
CHINA,TIANWAN,"34.683331,119.44667",2,0,2,0
CZECH REPUBLIC,DUKOVANY,"49.083328,16.133329",4,4,0,0
CZECH REPUBLIC,TEMELIN,"49.166672,14.26667",2,0,2,0
FINLAND,LOVIISA,"60.366669,26.35",2,2,0,0
FINLAND,OLKILUOTO,"61.23333,21.433331",2,2,0,0
FRANCE,BELLEVILLE,"47.5075,2.8775001",2,2,0,0
FRANCE,BLAYAIS,"45.26083,-0.68861002",4,4,0,0
FRANCE,BUGEY,"45.795559,5.27",5,4,0,1
FRANCE,CATTENOM,"49.413609,6.2163901",4,4,0,0
FRANCE,CHINON,"47.23333,0.18333",7,4,0,3
FRANCE,CHOOZ,"50.09,4.7894402",3,2,0,1
FRANCE,CIVAUX,"46.4575,0.65916997",2,2,0,0
FRANCE,CREYS-MALVILLE,"45.76667,5.46667",1,0,0,1
FRANCE,CRUAS,"44.63139,4.7555599",4,4,0,0
FRANCE,DAMPIERRE,"47.733891,2.5161099",4,4,0,0
FRANCE,MONTS D'ARREE,"48.349998,-3.8666699",1,0,0,1
